CustomerID,RecommendedCustomerID,SimilarityScore
C0001,C0164,0.9717747353031432
C0001,C0137,0.9543958286644648
C0001,C0103,0.9461004687085581
C0002,C0029,0.9995432945857693
C0002,C0031,0.9978269016160849
C0002,C0077,0.9958019717753117
C0003,C0027,0.8389931643038906
C0003,C0176,0.8279582423614589
C0003,C0073,0.7652715881378696
C0004,C0075,0.9975621414877183
C0004,C0175,0.9930015793963254
C0004,C0195,0.9929070572506444
C0005,C0123,0.998486142181796
C0005,C0063,0.9981213043084383
C0005,C0095,0.9964616563593731
C0006,C0079,0.9999840493102282
C0006,C0117,0.9984901469848415
C0006,C0196,0.9930097360770448
C0007,C0140,0.9983719163156526
C0007,C0085,0.996300406654974
C0007,C0080,0.9926522308907588
C0008,C0090,0.9880084344632301
C0008,C0179,0.9868638437014254
C0008,C0084,0.9744584117911529
C0009,C0192,0.9964884786651573
C0009,C0083,0.9924223257792536
C0009,C0043,0.9921656507553764
C0010,C0029,0.9752495950283008
C0010,C0094,0.9744069106478606
C0010,C0002,0.9704144964219764
C0011,C0064,0.9930939510749286
C0011,C0037,0.9879548503154014
C0011,C0171,0.9866425808704824
C0012,C0102,0.9922139514129672
C0012,C0045,0.987785455154339
C0012,C0041,0.9859080224818719
C0013,C0022,0.9974146669039587
C0013,C0059,0.996821405154189
C0013,C0141,0.9963706426242114
C0014,C0128,0.9971706929123917
C0014,C0058,0.9943691800780586
C0014,C0071,0.9932876120595112
C0015,C0150,0.9982709186662239
C0015,C0130,0.9965644003259424
C0015,C0186,0.9964015941311024
C0016,C0107,0.9680381965695481
C0016,C0183,0.8715426817818291
C0016,C0048,0.8713081120212294
C0017,C0162,0.997832806701462
C0017,C0124,0.9972189125317985
C0017,C0175,0.9900448612764485
C0018,C0182,0.9894526794120888
C0018,C0148,0.9860201652804615
C0018,C0200,0.9828280465656016
C0019,C0172,0.9952170733255168
C0019,C0116,0.9851725247032022
C0019,C0174,0.9645138007533793
C0020,C0110,0.9982585652373044
C0020,C0078,0.9952904604274916
C0020,C0167,0.9950994109101113
